"sample" "reference" "size" "megan.taxonomy" "OTU" "exclude.itsx" "exclude.lc" "exclude.lichen" "exclude.smallotus" "ref.otu" "size.otu" "hit.otu" "kingdom" "evk" "division" "evd" "class" "evc" "order" "evo" "family" "evf" "genus" "evg" "species" "evs"
"ITA87PB02DTDHK" "A809" "ITA87PB02DTDHK" "2" " Ascomycota sp. AR-2010" "10" "0" "0" "0" "0" "ITA87PB02D8COF" "5247" "KF309963" "Fungi" "-166.009270246886" "Ascomycota" "-166.009270246886" "Dothideomycetes" "-166.009270246886" "Capnodiales" "-135.159373306089" "Mycosphaerellaceae" "-135.159373306089" "Penidiella" "-108.444642922034" "Dothideomycetes" "-166.009270246886"
"ITA87PB02DGY12" "A809" "ITA87PB02DGY12" "2" " Ascomycota" "163" "0" "0" "0" "0" "ITA87PB02EH62M" "  27" "KF309963" "Fungi" "-141.661663476963" "Ascomycota" "-141.661663476963" "Dothideomycetes" "-141.661663476963" "Capnodiales" "-111.03491008748" "Mycosphaerellaceae" "-111.03491008748" "Penidiella" "-85.4187919920939" "Dothideomycetes" "-141.661663476963"
"ITA87PB02D29KB" "A809" "ITA87PB02D29KB" "2" " Ascomycota sp. AR-2010" "10" "0" "0" "0" "0" "ITA87PB02D8COF" "5247" "KF309963" "Fungi" "-166.009270246886" "Ascomycota" "-166.009270246886" "Dothideomycetes" "-166.009270246886" "Capnodiales" "-135.159373306089" "Mycosphaerellaceae" "-135.159373306089" "Penidiella" "-108.444642922034" "Dothideomycetes" "-166.009270246886"
"ITA87PB02DWEEK" "A809" "ITA87PB02DWEEK" "2" " Ascomycota sp. AR-2010" "10" "0" "0" "0" "0" "ITA87PB02D8COF" "5247" "KF309963" "Fungi" "-166.009270246886" "Ascomycota" "-166.009270246886" "Dothideomycetes" "-166.009270246886" "Capnodiales" "-135.159373306089" "Mycosphaerellaceae" "-135.159373306089" "Penidiella" "-108.444642922034" "Dothideomycetes" "-166.009270246886"
"ITA87PB02EO4JP" "A809" "ITA87PB02EO4JP" "2" " Ascomycota sp. AR-2010" "10" "0" "0" "0" "0" "ITA87PB02D8COF" "5247" "KF309963" "Fungi" "-166.009270246886" "Ascomycota" "-166.009270246886" "Dothideomycetes" "-166.009270246886" "Capnodiales" "-135.159373306089" "Mycosphaerellaceae" "-135.159373306089" "Penidiella" "-108.444642922034" "Dothideomycetes" "-166.009270246886"
"ITA87PB02D7RIO" "A809" "ITA87PB02D7RIO" "2" " Ascomycota sp. AR-2010" "10" "0" "0" "0" "0" "ITA87PB02D8COF" "5247" "KF309963" "Fungi" "-166.009270246886" "Ascomycota" "-166.009270246886" "Dothideomycetes" "-166.009270246886" "Capnodiales" "-135.159373306089" "Mycosphaerellaceae" "-135.159373306089" "Penidiella" "-108.444642922034" "Dothideomycetes" "-166.009270246886"
"ITA87PB02EU9M5" "A809" "ITA87PB02EU9M5" "2" " Ascomycota sp. AR-2010" "238" "0" "0" "0" "0" "ITA87PB02EU9M5" "   3" "KF309963" "Fungi" "-155.882639143035" "Ascomycota" "-155.882639143035" "Dothideomycetes" "-155.882639143035" "Capnodiales" "-125.032742202238" "Mycosphaerellaceae" "-125.032742202238" "Penidiella" "-107.122887082052" "Dothideomycetes" "-155.882639143035"
"ITA87PB02DA4S9" "A809" "ITA87PB02DA4S9" "2" " Ascomycota sp. AR-2010" "10" "0" "0" "0" "0" "ITA87PB02D8COF" "5247" "KF309963" "Fungi" "-166.009270246886" "Ascomycota" "-166.009270246886" "Dothideomycetes" "-166.009270246886" "Capnodiales" "-135.159373306089" "Mycosphaerellaceae" "-135.159373306089" "Penidiella" "-108.444642922034" "Dothideomycetes" "-166.009270246886"
"ITA87PB02EH6U5" "A809" "ITA87PB02EH6U5" "2" " Ascomycota sp. AR-2010" "10" "0" "0" "0" "0" "ITA87PB02D8COF" "5247" "KF309963" "Fungi" "-166.009270246886" "Ascomycota" "-166.009270246886" "Dothideomycetes" "-166.009270246886" "Capnodiales" "-135.159373306089" "Mycosphaerellaceae" "-135.159373306089" "Penidiella" "-108.444642922034" "Dothideomycetes" "-166.009270246886"
"ITA87PB02DWL7G" "A809" "ITA87PB02DWL7G" "2" " Ascomycota" "10" "0" "0" "0" "0" "ITA87PB02D8COF" "5247" "KF309963" "Fungi" "-166.009270246886" "Ascomycota" "-166.009270246886" "Dothideomycetes" "-166.009270246886" "Capnodiales" "-135.159373306089" "Mycosphaerellaceae" "-135.159373306089" "Penidiella" "-108.444642922034" "Dothideomycetes" "-166.009270246886"
"ITA87PB02D1BZ8" "A809" "ITA87PB02D1BZ8" "2" " Ascomycota sp. AR-2010" "10" "0" "0" "0" "0" "ITA87PB02D8COF" "5247" "KF309963" "Fungi" "-166.009270246886" "Ascomycota" "-166.009270246886" "Dothideomycetes" "-166.009270246886" "Capnodiales" "-135.159373306089" "Mycosphaerellaceae" "-135.159373306089" "Penidiella" "-108.444642922034" "Dothideomycetes" "-166.009270246886"
"ITA87PB02C6NCN" "A809" "ITA87PB02C6NCN" "2" " Ascomycota sp. AR-2010" "10" "0" "0" "0" "0" "ITA87PB02D8COF" "5247" "KF309963" "Fungi" "-166.009270246886" "Ascomycota" "-166.009270246886" "Dothideomycetes" "-166.009270246886" "Capnodiales" "-135.159373306089" "Mycosphaerellaceae" "-135.159373306089" "Penidiella" "-108.444642922034" "Dothideomycetes" "-166.009270246886"
"ITA87PB02DJ5Q6" "A792" "ITA87PB02DJ5Q6" "2" " Fibulobasidium" "26" "0" "0" "0" "0" "ITA87PB02ERHWS" "2524" "KF823589" "Fungi" "-108.732324994486" "Basidiomycota" "-108.732324994486" "Tremellomycetes" "-108.732324994486" "Tremellales" "-108.732324994486" "Sirobasidiaceae" "-108.732324994486" "unidentified" "-108.732324994486" "uncultured" "-108.732324994486"
"ITA87PB02CZ968" "A792" "ITA87PB02CZ968" "2" " Fibulobasidium" "40" "0" "0" "0" "0" "ITA87PB02EJ2MN" " 304" "KF823589" "Fungi" "-119.04127765513" "Basidiomycota" "-119.04127765513" "Tremellomycetes" "-119.04127765513" "Tremellales" "-119.04127765513" "Sirobasidiaceae" "-119.04127765513" "unidentified" "-119.04127765513" "uncultured" "-119.04127765513"
"ITA87PB02ESBUO" "A792" "ITA87PB02ESBUO" "2" " Fibulobasidium" "26" "0" "0" "0" "0" "ITA87PB02ERHWS" "2524" "KF823589" "Fungi" "-108.732324994486" "Basidiomycota" "-108.732324994486" "Tremellomycetes" "-108.732324994486" "Tremellales" "-108.732324994486" "Sirobasidiaceae" "-108.732324994486" "unidentified" "-108.732324994486" "uncultured" "-108.732324994486"
"ITA87PB02DA8L0" "A792" "ITA87PB02DA8L0" "2" " Fibulobasidium" "26" "0" "0" "0" "0" "ITA87PB02ERHWS" "2524" "KF823589" "Fungi" "-108.732324994486" "Basidiomycota" "-108.732324994486" "Tremellomycetes" "-108.732324994486" "Tremellales" "-108.732324994486" "Sirobasidiaceae" "-108.732324994486" "unidentified" "-108.732324994486" "uncultured" "-108.732324994486"
"ITA87PB02ENSG9" "A792" "ITA87PB02ENSG9" "2" " Fibulobasidium" "242" "0" "0" "0" "0" "ITA87PB02ENSG9" "   5" "KF823589" "Fungi" "-98.318011818184" "Basidiomycota" "-98.318011818184" "Tremellomycetes" "-98.318011818184" "Tremellales" "-98.318011818184" "Sirobasidiaceae" "-98.318011818184" "unidentified" "-98.318011818184" "uncultured" "-98.318011818184"
"ITA87PB02DPCIC" "A792" "ITA87PB02DPCIC" "2" " Fibulobasidium" "26" "0" "0" "0" "0" "ITA87PB02ERHWS" "2524" "KF823589" "Fungi" "-108.732324994486" "Basidiomycota" "-108.732324994486" "Tremellomycetes" "-108.732324994486" "Tremellales" "-108.732324994486" "Sirobasidiaceae" "-108.732324994486" "unidentified" "-108.732324994486" "uncultured" "-108.732324994486"
"ITA87PB02DT337" "A792" "ITA87PB02DT337" "2" " Fibulobasidium" "26" "0" "0" "0" "0" "ITA87PB02ERHWS" "2524" "KF823589" "Fungi" "-108.732324994486" "Basidiomycota" "-108.732324994486" "Tremellomycetes" "-108.732324994486" "Tremellales" "-108.732324994486" "Sirobasidiaceae" "-108.732324994486" "unidentified" "-108.732324994486" "uncultured" "-108.732324994486"
"ITA87PB02DURT4" "A792" "ITA87PB02DURT4" "2" " Fibulobasidium" "26" "0" "0" "0" "0" "ITA87PB02ERHWS" "2524" "KF823589" "Fungi" "-108.732324994486" "Basidiomycota" "-108.732324994486" "Tremellomycetes" "-108.732324994486" "Tremellales" "-108.732324994486" "Sirobasidiaceae" "-108.732324994486" "unidentified" "-108.732324994486" "uncultured" "-108.732324994486"
"ITA87PB02EIK0M" "A792" "ITA87PB02EIK0M" "2" " Cladophialophora scillae" "85" "0" "0" "0" "0" "ITA87PB02D186Z" "  28" "JN904937" "Fungi" "-124.850420645444" "Ascomycota" "-115.822401830262" "Eurotiomycetes" "-115.822401830262" "Chaetothyriales" "-115.822401830262" "Herpotrichiellaceae" "-115.822401830262" "Cladophialophora" "-115.822401830262" "Chaetothyriales" "-115.822401830262"
"ITA87PB02DNNAY" "A792" "ITA87PB02DNNAY" "2" " Fibulobasidium" "26" "0" "0" "0" "0" "ITA87PB02ERHWS" "2524" "KF823589" "Fungi" "-108.732324994486" "Basidiomycota" "-108.732324994486" "Tremellomycetes" "-108.732324994486" "Tremellales" "-108.732324994486" "Sirobasidiaceae" "-108.732324994486" "unidentified" "-108.732324994486" "uncultured" "-108.732324994486"
"ITA87PB02DVH4Z" "A792" "ITA87PB02DVH4Z" "2" " Fibulobasidium" "26" "0" "0" "0" "0" "ITA87PB02ERHWS" "2524" "KF823589" "Fungi" "-108.732324994486" "Basidiomycota" "-108.732324994486" "Tremellomycetes" "-108.732324994486" "Tremellales" "-108.732324994486" "Sirobasidiaceae" "-108.732324994486" "unidentified" "-108.732324994486" "uncultured" "-108.732324994486"
"ITA87PB02D41DO" "A792" "ITA87PB02D41DO" "2" " Phaeomoniella capensis" "44" "0" "0" "0" "0" "NO_OTU" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"ITA87PB02DVXO7" "A670" "ITA87PB02DVXO7" "2" " Micarea nitschkeana" "31" "0" "0" "0" "0" "ITA87PB02DAZ18" " 721" "JN904297" "Fungi" "-163.483541602577" "Ascomycota" "-148.058593132179" "Lecanoromycetes" "-148.058593132179" "Lecanorales" "-148.058593132179" "Byssolomataceae" "-148.058593132179" "Micarea" "-148.058593132179" "Micarea" "-148.058593132179"
"ITA87PB02C96Y9" "A670" "ITA87PB02C96Y9" "2" " Micarea nitschkeana" "31" "0" "0" "0" "0" "ITA87PB02DAZ18" " 721" "JN904297" "Fungi" "-163.483541602577" "Ascomycota" "-148.058593132179" "Lecanoromycetes" "-148.058593132179" "Lecanorales" "-148.058593132179" "Byssolomataceae" "-148.058593132179" "Micarea" "-148.058593132179" "Micarea" "-148.058593132179"
"ITA87PB02EAC7T" "A670" "ITA87PB02EAC7T" "2" " Cladophialophora chaetospira" "21" "0" "0" "0" "0" "ITA87PB02ENF3B" "1931" "FN298727" "Fungi" "-146.672298771059" "Ascomycota" "-146.672298771059" "Eurotiomycetes" "-146.672298771059" "Chaetothyriales" "-146.672298771059" "Herpotrichiellaceae" "-146.672298771059" "Cladophialophora" "-145.286004409939" "Herpotrichiellaceae" "-146.672298771059"
"ITA87PB02DDWSM" "A670" "ITA87PB02DDWSM" "2" " Micarea nitschkeana" "243" "0" "0" "0" "0" "ITA87PB02DDWSM" "   3" "JN904297" "Fungi" "-122.54783555245" "Ascomycota" "-105.918914277726" "Lecanoromycetes" "-105.918914277726" "Lecanorales" "-105.918914277726" "Byssolomataceae" "-105.918914277726" "Micarea" "-105.918914277726" "Micarea" "-105.918914277726"
"ITA87PB02C94PK" "A670" "ITA87PB02C94PK" "2" " Teratosphaeria fibrillosa" "182" "0" "0" "0" "0" "ITA87PB02DRQ5V" "   8" "FJ758329" "Fungi" "-23.94214" "unidentified" "-23.94214" "unidentified" "-23.94214" "unidentified" "-23.94214" "unidentified" "-23.94214" "unidentified" "-23.94214" "uncultured" "-23.94214"
"ITA87PB02DTZ3C" "A670" "ITA87PB02DTZ3C" "2" " Cladophialophora chaetospira" "21" "0" "0" "0" "0" "ITA87PB02ENF3B" "1931" "FN298727" "Fungi" "-146.672298771059" "Ascomycota" "-146.672298771059" "Eurotiomycetes" "-146.672298771059" "Chaetothyriales" "-146.672298771059" "Herpotrichiellaceae" "-146.672298771059" "Cladophialophora" "-145.286004409939" "Herpotrichiellaceae" "-146.672298771059"
"ITA87PB02CYLOX" "A670" "ITA87PB02CYLOX" "2" " Teratosphaeria cryptica" "38" "0" "0" "0" "0" "ITA87PB02DROC0" " 535" "JN904617" "Fungi" "-53.470282762629" "Ascomycota" "-51.0135469898077" "Dothideomycetes" "-51.0135469898077" "Capnodiales" "-51.0135469898077" "Teratosphaeriaceae" "-49.5582597572009" "Hortaea" "-49.5582597572009" "Dothideomycetes" "-51.0135469898077"
"ITA87PB02C2RSK" "A670" "ITA87PB02C2RSK" "2" " Cladophialophora chaetospira" "21" "0" "0" "0" "0" "ITA87PB02ENF3B" "1931" "FN298727" "Fungi" "-146.672298771059" "Ascomycota" "-146.672298771059" "Eurotiomycetes" "-146.672298771059" "Chaetothyriales" "-146.672298771059" "Herpotrichiellaceae" "-146.672298771059" "Cladophialophora" "-145.286004409939" "Herpotrichiellaceae" "-146.672298771059"
"ITA87PB02DT494" "A670" "ITA87PB02DT494" "2" " Cladophialophora chaetospira" "21" "0" "0" "0" "0" "ITA87PB02ENF3B" "1931" "FN298727" "Fungi" "-146.672298771059" "Ascomycota" "-146.672298771059" "Eurotiomycetes" "-146.672298771059" "Chaetothyriales" "-146.672298771059" "Herpotrichiellaceae" "-146.672298771059" "Cladophialophora" "-145.286004409939" "Herpotrichiellaceae" "-146.672298771059"
"ITA87PB02D766X" "A670" "ITA87PB02D766X" "2" " Ascomycota sp. AR-2010" "10" "0" "0" "0" "0" "ITA87PB02D8COF" "5247" "KF309963" "Fungi" "-166.009270246886" "Ascomycota" "-166.009270246886" "Dothideomycetes" "-166.009270246886" "Capnodiales" "-135.159373306089" "Mycosphaerellaceae" "-135.159373306089" "Penidiella" "-108.444642922034" "Dothideomycetes" "-166.009270246886"
"ITA87PB02D5IGZ" "A670" "ITA87PB02D5IGZ" "2" " Cladophialophora chaetospira" "21" "0" "0" "0" "0" "ITA87PB02ENF3B" "1931" "FN298727" "Fungi" "-146.672298771059" "Ascomycota" "-146.672298771059" "Eurotiomycetes" "-146.672298771059" "Chaetothyriales" "-146.672298771059" "Herpotrichiellaceae" "-146.672298771059" "Cladophialophora" "-145.286004409939" "Herpotrichiellaceae" "-146.672298771059"
"ITA87PB02EDTKO" "A670" "ITA87PB02EDTKO" "2" " Micarea nitschkeana" "31" "0" "0" "0" "0" "ITA87PB02DAZ18" " 721" "JN904297" "Fungi" "-163.483541602577" "Ascomycota" "-148.058593132179" "Lecanoromycetes" "-148.058593132179" "Lecanorales" "-148.058593132179" "Byssolomataceae" "-148.058593132179" "Micarea" "-148.058593132179" "Micarea" "-148.058593132179"
"ITA87PB02DRGH1" "A670" "ITA87PB02DRGH1" "2" " Tremella diploschistina" "158" "0" "0" "0" "0" "NO_OTU" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"ITA87PB02CZOAP" "A670" "ITA87PB02CZOAP" "2" " Not assigned" "244" "0" "0" "0" "0" "NO_OTU" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"ITA87PB02EEBH7" "A670" "ITA87PB02EEBH7" "2" " Not assigned" "1" "0" "0" "0" "0" "ITA87PB02CYCFC" "6312" "JN906464" "Fungi" "-88.1913807143337" "Basidiomycota" "-19.1138279245123" "Tremellomycetes" "-19.1138279245123" "Tremellales" "-19.1138279245123" "unidentified" "-88.1913807143337" "unidentified" "-88.1913807143337" "Tremellomycetes" "-15.4249484703984"
"ITA87PB02EDEK8" "A670" "ITA87PB02EDEK8" "2" " Cladophialophora sp. 94002a" "72" "0" "0" "0" "0" "ITA87PB02DU952" "  59" "EU139133" "Fungi" "-148.974883864053" "Ascomycota" "-148.974883864053" "Eurotiomycetes" "-148.974883864053" "Chaetothyriales" "-148.974883864053" "Herpotrichiellaceae" "-148.974883864053" "Cladophialophora" "-148.974883864053" "Cladophialophora" "-148.974883864053"
"ITA87PB02EHDCK" "A670" "ITA87PB02EHDCK" "2" " Cladophialophora chaetospira" "21" "0" "0" "0" "0" "ITA87PB02ENF3B" "1931" "FN298727" "Fungi" "-146.672298771059" "Ascomycota" "-146.672298771059" "Eurotiomycetes" "-146.672298771059" "Chaetothyriales" "-146.672298771059" "Herpotrichiellaceae" "-146.672298771059" "Cladophialophora" "-145.286004409939" "Herpotrichiellaceae" "-146.672298771059"
"ITA87PB02ETVVO" "A670" "ITA87PB02ETVVO" "2" " Basidiomycota" "68" "0" "0" "0" "0" "ITA87PB02DV4CG" "  47" "JN053511" "Fungi" "-114.0306" "Basidiomycota" "-114.0306" "Tremellomycetes" "-114.0306" "Tremellales" "-114.0306" NA "-114.0306" NA "-114.0306" NA "-114.0306"
"ITA87PB02EE366" "A670" "ITA87PB02EE366" "2" " Cladophialophora chaetospira" "21" "0" "0" "0" "0" "ITA87PB02ENF3B" "1931" "FN298727" "Fungi" "-146.672298771059" "Ascomycota" "-146.672298771059" "Eurotiomycetes" "-146.672298771059" "Chaetothyriales" "-146.672298771059" "Herpotrichiellaceae" "-146.672298771059" "Cladophialophora" "-145.286004409939" "Herpotrichiellaceae" "-146.672298771059"
"ITA87PB02D1OI1" "A636" "ITA87PB02D1OI1" "2" " Ascomycota sp. AR-2010" "10" "0" "0" "0" "0" "ITA87PB02D8COF" "5247" "KF309963" "Fungi" "-166.009270246886" "Ascomycota" "-166.009270246886" "Dothideomycetes" "-166.009270246886" "Capnodiales" "-135.159373306089" "Mycosphaerellaceae" "-135.159373306089" "Penidiella" "-108.444642922034" "Dothideomycetes" "-166.009270246886"
"ITA87PB02DW1SD" "A636" "ITA87PB02DW1SD" "2" " Cladophialophora sp. 94002a" "41" "0" "0" "0" "0" "ITA87PB02D92ON" " 195" "EU139133" "Fungi" "-218.052436653874" "Ascomycota" "-218.052436653874" "Eurotiomycetes" "-218.052436653874" "Chaetothyriales" "-218.052436653874" "Herpotrichiellaceae" "-218.052436653874" "Cladophialophora" "-218.052436653874" "Cladophialophora" "-218.052436653874"
"ITA87PB02ENVZK" "A623" "ITA87PB02ENVZK" "2" " Basidiomycota" "68" "0" "0" "0" "0" "ITA87PB02DV4CG" "  47" "JN053511" "Fungi" "-114.0306" "Basidiomycota" "-114.0306" "Tremellomycetes" "-114.0306" "Tremellales" "-114.0306" NA "-114.0306" NA "-114.0306" NA "-114.0306"
"ITA87PB02CYDT5" "A622" "ITA87PB02CYDT5" "2" " Mycosphaerella sp. L357" "12" "0" "0" "0" "0" "ITA87PB02EFNE1" "2838" "KC966025" "Fungi" "-82.8930633477856" "Ascomycota" "-78.9810403423575" "Dothideomycetes" "-78.9810403423575" "Capnodiales" "-71.3801378828154" "Teratosphaeriaceae" "-71.3801378828154" "Catenulostroma" "-71.3801378828154" "Oleoguttula" "-78.9810403423575"
"ITA87PB02D8J6Y" "A622" "ITA87PB02D8J6Y" "2" " Mycosphaerella sp. L357" "12" "0" "0" "0" "0" "ITA87PB02EFNE1" "2838" "KC966025" "Fungi" "-82.8930633477856" "Ascomycota" "-78.9810403423575" "Dothideomycetes" "-78.9810403423575" "Capnodiales" "-71.3801378828154" "Teratosphaeriaceae" "-71.3801378828154" "Catenulostroma" "-71.3801378828154" "Oleoguttula" "-78.9810403423575"
"ITA87PB02D20H5" "A622" "ITA87PB02D20H5" "2" " Mycosphaerella sp. L357" "12" "0" "0" "0" "0" "ITA87PB02EFNE1" "2838" "KC966025" "Fungi" "-82.8930633477856" "Ascomycota" "-78.9810403423575" "Dothideomycetes" "-78.9810403423575" "Capnodiales" "-71.3801378828154" "Teratosphaeriaceae" "-71.3801378828154" "Catenulostroma" "-71.3801378828154" "Oleoguttula" "-78.9810403423575"
"ITA87PB02DLPNZ" "A622" "ITA87PB02DLPNZ" "2" " Mycosphaerella sp. L357" "12" "0" "0" "0" "0" "ITA87PB02EFNE1" "2838" "KC966025" "Fungi" "-82.8930633477856" "Ascomycota" "-78.9810403423575" "Dothideomycetes" "-78.9810403423575" "Capnodiales" "-71.3801378828154" "Teratosphaeriaceae" "-71.3801378828154" "Catenulostroma" "-71.3801378828154" "Oleoguttula" "-78.9810403423575"
"ITA87PB02DLHHL" "A622" "ITA87PB02DLHHL" "2" " Mycosphaerella sp. L357" "12" "0" "0" "0" "0" "ITA87PB02EFNE1" "2838" "KC966025" "Fungi" "-82.8930633477856" "Ascomycota" "-78.9810403423575" "Dothideomycetes" "-78.9810403423575" "Capnodiales" "-71.3801378828154" "Teratosphaeriaceae" "-71.3801378828154" "Catenulostroma" "-71.3801378828154" "Oleoguttula" "-78.9810403423575"
"ITA87PB02CW31Q" "A622" "ITA87PB02CW31Q" "2" " Mycosphaerella sp. L357" "246" "0" "0" "0" "0" "ITA87PB02CW31Q" "   2" "KF878317" "Fungi" "-50.7622325615268" "Ascomycota" "-50.7622325615268" "Dothideomycetes" "-50.7622325615268" "Capnodiales" "-50.7622325615268" "Teratosphaeriaceae" "-50.7622325615268" "Teratosphaeria" "-50.7622325615268" "Pseudoteratosphaeria" "-50.7622325615268"
"ITA87PB02EOZ76" "A622" "ITA87PB02EOZ76" "2" " Mycosphaerella sp. L357" "12" "0" "0" "0" "0" "ITA87PB02EFNE1" "2838" "KC966025" "Fungi" "-82.8930633477856" "Ascomycota" "-78.9810403423575" "Dothideomycetes" "-78.9810403423575" "Capnodiales" "-71.3801378828154" "Teratosphaeriaceae" "-71.3801378828154" "Catenulostroma" "-71.3801378828154" "Oleoguttula" "-78.9810403423575"
"ITA87PB02EL4MO" "A622" "ITA87PB02EL4MO" "2" " Mycosphaerella sp. L357" "12" "0" "0" "0" "0" "ITA87PB02EFNE1" "2838" "KC966025" "Fungi" "-82.8930633477856" "Ascomycota" "-78.9810403423575" "Dothideomycetes" "-78.9810403423575" "Capnodiales" "-71.3801378828154" "Teratosphaeriaceae" "-71.3801378828154" "Catenulostroma" "-71.3801378828154" "Oleoguttula" "-78.9810403423575"
"ITA87PB02DYDYG" "A622" "ITA87PB02DYDYG" "2" " Mycosphaerella sp. L357" "12" "0" "0" "0" "0" "ITA87PB02EFNE1" "2838" "KC966025" "Fungi" "-82.8930633477856" "Ascomycota" "-78.9810403423575" "Dothideomycetes" "-78.9810403423575" "Capnodiales" "-71.3801378828154" "Teratosphaeriaceae" "-71.3801378828154" "Catenulostroma" "-71.3801378828154" "Oleoguttula" "-78.9810403423575"
"ITA87PB02EJZ1P" "A622" "ITA87PB02EJZ1P" "2" " Mycosphaerella sp. L357" "12" "0" "0" "0" "0" "ITA87PB02EFNE1" "2838" "KC966025" "Fungi" "-82.8930633477856" "Ascomycota" "-78.9810403423575" "Dothideomycetes" "-78.9810403423575" "Capnodiales" "-71.3801378828154" "Teratosphaeriaceae" "-71.3801378828154" "Catenulostroma" "-71.3801378828154" "Oleoguttula" "-78.9810403423575"
"ITA87PB02DCIZ0" "A622" "ITA87PB02DCIZ0" "2" " Mycosphaerella sp. L357" "12" "0" "0" "0" "0" "ITA87PB02EFNE1" "2838" "KC966025" "Fungi" "-82.8930633477856" "Ascomycota" "-78.9810403423575" "Dothideomycetes" "-78.9810403423575" "Capnodiales" "-71.3801378828154" "Teratosphaeriaceae" "-71.3801378828154" "Catenulostroma" "-71.3801378828154" "Oleoguttula" "-78.9810403423575"
"ITA87PB02DTV04" "A622" "ITA87PB02DTV04" "2" " Batcheloromyces leucadendri" "12" "0" "0" "0" "0" "ITA87PB02EFNE1" "2838" "KC966025" "Fungi" "-82.8930633477856" "Ascomycota" "-78.9810403423575" "Dothideomycetes" "-78.9810403423575" "Capnodiales" "-71.3801378828154" "Teratosphaeriaceae" "-71.3801378828154" "Catenulostroma" "-71.3801378828154" "Oleoguttula" "-78.9810403423575"
"ITA87PB02DPVIY" "A622" "ITA87PB02DPVIY" "2" " Mycosphaerella sp. L357" "12" "0" "0" "0" "0" "ITA87PB02EFNE1" "2838" "KC966025" "Fungi" "-82.8930633477856" "Ascomycota" "-78.9810403423575" "Dothideomycetes" "-78.9810403423575" "Capnodiales" "-71.3801378828154" "Teratosphaeriaceae" "-71.3801378828154" "Catenulostroma" "-71.3801378828154" "Oleoguttula" "-78.9810403423575"
"ITA87PB02D9116" "A622" "ITA87PB02D9116" "2" " Mycosphaerella sp. L357" "12" "0" "0" "0" "0" "ITA87PB02EFNE1" "2838" "KC966025" "Fungi" "-82.8930633477856" "Ascomycota" "-78.9810403423575" "Dothideomycetes" "-78.9810403423575" "Capnodiales" "-71.3801378828154" "Teratosphaeriaceae" "-71.3801378828154" "Catenulostroma" "-71.3801378828154" "Oleoguttula" "-78.9810403423575"
"ITA87PB02EBA9W" "A622" "ITA87PB02EBA9W" "2" " Mycosphaerella sp. L357" "12" "0" "0" "0" "0" "ITA87PB02EFNE1" "2838" "KC966025" "Fungi" "-82.8930633477856" "Ascomycota" "-78.9810403423575" "Dothideomycetes" "-78.9810403423575" "Capnodiales" "-71.3801378828154" "Teratosphaeriaceae" "-71.3801378828154" "Catenulostroma" "-71.3801378828154" "Oleoguttula" "-78.9810403423575"
"ITA87PB02EAU8Z" "A622" "ITA87PB02EAU8Z" "2" " Mycosphaerella sp. L357" "12" "0" "0" "0" "0" "ITA87PB02EFNE1" "2838" "KC966025" "Fungi" "-82.8930633477856" "Ascomycota" "-78.9810403423575" "Dothideomycetes" "-78.9810403423575" "Capnodiales" "-71.3801378828154" "Teratosphaeriaceae" "-71.3801378828154" "Catenulostroma" "-71.3801378828154" "Oleoguttula" "-78.9810403423575"
"ITA87PB02CZH4D" "A622" "ITA87PB02CZH4D" "2" " Mycosphaerella sp. L357" "12" "0" "0" "0" "0" "ITA87PB02EFNE1" "2838" "KC966025" "Fungi" "-82.8930633477856" "Ascomycota" "-78.9810403423575" "Dothideomycetes" "-78.9810403423575" "Capnodiales" "-71.3801378828154" "Teratosphaeriaceae" "-71.3801378828154" "Catenulostroma" "-71.3801378828154" "Oleoguttula" "-78.9810403423575"
"ITA87PB02C645A" "A608" "ITA87PB02C645A" "2" " Ascomycota" "34" "0" "0" "0" "0" "ITA87PB02DWHIU" " 870" "KF297168" "Fungi" "-39.2493070965566" "Ascomycota" "-39.2493070965566" "Eurotiomycetes" "-39.2493070965566" "Chaetothyriales" "-39.2493070965566" "Herpotrichiellaceae" "-35.4550671267848" "Staurothele" "-26.5324088272604" "Chaetothyriales" "-39.2493070965566"
"ITA87PB02DSKXS" "A608" "ITA87PB02DSKXS" "2" " Pleopsidium cf. chlorophanum Lunke 97" "99" "0" "0" "0" "0" "ITA87PB02C1TYB" "  24" "KF297168" "Fungi" "-39.2493070965566" "Ascomycota" "-39.2493070965566" "Eurotiomycetes" "-39.2493070965566" "Chaetothyriales" "-39.2493070965566" "Herpotrichiellaceae" "-35.4550671267848" "Staurothele" "-26.5324088272604" "Chaetothyriales" "-39.2493070965566"
"ITA87PB02C3JUM" "A608" "ITA87PB02C3JUM" "2" " Ascomycota" "34" "0" "0" "0" "0" "ITA87PB02DWHIU" " 870" "KF297168" "Fungi" "-39.2493070965566" "Ascomycota" "-39.2493070965566" "Eurotiomycetes" "-39.2493070965566" "Chaetothyriales" "-39.2493070965566" "Herpotrichiellaceae" "-35.4550671267848" "Staurothele" "-26.5324088272604" "Chaetothyriales" "-39.2493070965566"
